country,year,population,gdp
Afghanistan,2016,35383000,64297426944
Africa,2016,1213041024,
Albania,2016,2886000,34351540224
Algeria,2016,40551000,5.34E+11
American Samoa,2016,56000,
Angola,2016,28842000,1.48E+11
Antigua and Barbuda,2016,95000,
Argentina,2016,43508000,8.2E+11
Armenia,2016,2936000,27987372032
Aruba,2016,105000,
Asia Pacific,2016,,
Australia,2016,24263000,1.07E+12
Austria,2016,8747000,3.95E+11
Azerbaijan,2016,9736000,1.45E+11
Bahamas,2016,378000,
Bahrain,2016,1426000,56079929344
Bangladesh,2016,157976992,5.33E+11
Barbados,2016,286000,2956559872
Belarus,2016,9446000,1.8E+11
Belgium,2016,11354000,4.48E+11
Belize,2016,368000,
Benin,2016,10872000,23265005568
Bermuda,2016,63000,
Bhutan,2016,737000,
Bolivia,2016,11032000,67114459136
Bosnia and Herzegovina,2016,3386000,41870385152
Botswana,2016,2160000,32747714560
Brazil,2016,206163008,2.81E+12
British Virgin Islands,2016,29000,
Brunei,2016,420000,
Bulgaria,2016,7152000,1.28E+11
Burkina Faso,2016,18646000,30459793408
Burundi,2016,10488000,7680507904
CIS,2016,,
Cambodia,2016,15766000,52640825344
Cameroon,2016,23927000,67720478720
Canada,2016,36383000,1.57E+12
Cape Verde,2016,531000,3601136128
Cayman Islands,2016,63000,
Central African Republic,2016,4538000,3408833024
Central America,2016,,
Chad,2016,14562000,25979584512
Chile,2016,18209000,3.91E+11
China,2016,1414049024,1.69E+13
Colombia,2016,48175000,6.1E+11
Comoros,2016,796000,1361835008
Congo,2016,4981000,20912119808
Cook Islands,2016,18000,
Costa Rica,2016,4899000,68237692928
Cote d'Ivoire,2016,23823000,86983360512
Croatia,2016,4209000,93290250240
Cuba,2016,11335000,
Cyprus,2016,1170000,26539999232
Czechia,2016,10619000,3.28E+11
Czechoslovakia,2016,,4.8E+11
Democratic Republic of Congo,2016,78789000,67812974592
Denmark,2016,5711000,2.59E+11
Djibouti,2016,929000,2874717952
Dominica,2016,71000,723201984
Dominican Republic,2016,10398000,1.49E+11
Eastern Africa,2016,,
Ecuador,2016,16491000,1.69E+11
Egypt,2016,94447000,1.11E+12
El Salvador,2016,6356000,51318595584
Equatorial Guinea,2016,1215000,23897874432
Eritrea,2016,3377000,
Estonia,2016,1317000,33684649984
Eswatini,2016,1114000,11087090688
Ethiopia,2016,103603000,1.84E+11
Europe,2016,744268992,
Europe (other),2016,,
Faeroe Islands,2016,48000,
Falkland Islands ,2016,,
Fiji,2016,872000,
Finland,2016,5498000,2.11E+11
France,2016,64668000,2.6E+12
French Guiana,2016,268000,
French Polynesia,2016,275000,
Gabon,2016,2008000,24926826496
Gambia,2016,2149000,3919500032
Georgia,2016,4015000,51618291712
Germany,2016,82194000,3.92E+12
Ghana,2016,28482000,1E+11
Gibraltar,2016,34000,
Greece,2016,10615000,2.64E+11
Greenland,2016,56000,
Grenada,2016,110000,
Guadeloupe,2016,400000,
Guam,2016,163000,
Guatemala,2016,16583000,1.08E+11
Guinea,2016,11738000,20171124736
Guinea-Bissau,2016,1782000,2381686016
Guyana,2016,771000,
Haiti,2016,10840000,17155095552
Honduras,2016,9271000,39440453632
Hong Kong,2016,7244000,3.4E+11
Hungary,2016,9753000,2.36E+11
Iceland,2016,332000,14398300160
India,2016,1324516992,7.56E+12
Indonesia,2016,261556000,2.68E+12
Iran,2016,79564000,1.25E+12
Iraq,2016,36611000,5.44E+11
Ireland,2016,4696000,2.62E+11
Israel,2016,8109000,2.67E+11
Italy,2016,60663000,2.13E+12
Jamaica,2016,2906000,21316925440
Japan,2016,127763000,4.6E+12
Jordan,2016,9554000,88403697664
Kazakhstan,2016,17831000,4.2E+11
Kenya,2016,49052000,1.5E+11
Kiribati,2016,113000,
Kosovo,2016,,
Kuwait,2016,3957000,2.83E+11
Kyrgyzstan,2016,6074000,33957935104
Laos,2016,6846000,44388155392
Latvia,2016,1974000,45812883456
Lebanon,2016,6714000,79116550144
Lesotho,2016,2075000,5888294912
Liberia,2016,4587000,3496064000
Libya,2016,6492000,52964032512
Lithuania,2016,2890000,75063795712
Luxembourg,2016,579000,40329289728
Macau,2016,,
Madagascar,2016,24894000,31930009600
Malawi,2016,17205000,17973999616
Malaysia,2016,30685000,6.87E+11
Maldives,2016,476000,
Mali,2016,17965000,25631920128
Malta,2016,436000,12121667584
Martinique,2016,377000,
Mauritania,2016,4164000,12159839232
Mauritius,2016,1262000,25412495360
Mexico,2016,123333000,1.88E+12
Middle Africa,2016,,
Middle East,2016,,
Moldova,2016,4066000,20636477440
Mongolia,2016,3056000,33659254784
Montenegro,2016,627000,11767379968
Montserrat,2016,5000,
Morocco,2016,35126000,2.64E+11
Mozambique,2016,27830000,32568367104
Myanmar,2016,53045000,3.39E+11
Namibia,2016,2358000,28601075712
Nauru,2016,10000,
Nepal,2016,27263000,75081924608
Netherlands,2016,16981000,8.39E+11
Netherlands Antilles,2016,,
New Caledonia,2016,274000,
New Zealand,2016,4659000,1.59E+11
Nicaragua,2016,6304000,29071224832
Niger,2016,20789000,16921362432
Nigeria,2016,185960000,9.9E+11
Niue,2016,2000,
North America,2016,359524992,
North Korea,2016,25308000,
North Macedonia,2016,2081000,29162700800
Northern Mariana Islands,2016,56000,
Norway,2016,5251000,4E+11
OPEC,2016,,
Oman,2016,4479000,1.68E+11
Other Asia & Pacific,2016,,
Other CIS,2016,,
Other Caribbean,2016,,
Other Middle East,2016,,
Other Northern Africa,2016,,
Other South America,2016,,
Other Southern Africa,2016,,
Pakistan,2016,203631008,1.02E+12
Palestine,2016,4636000,
Panama,2016,4037000,79798288384
Papua New Guinea,2016,8272000,
Paraguay,2016,6778000,59056115712
Peru,2016,30926000,3.55E+11
Philippines,2016,103664000,7.85E+11
Poland,2016,37989000,1E+12
Portugal,2016,10326000,2.85E+11
Puerto Rico,2016,3283000,1.2E+11
Qatar,2016,2654000,3E+11
Reunion,2016,870000,
Romania,2016,19796000,4.09E+11
Russia,2016,145275008,3.32E+12
Rwanda,2016,11669000,20204304384
Saint Helena,2016,6000,
Saint Kitts and Nevis,2016,52000,
Saint Lucia,2016,180000,1760867968
Saint Pierre and Miquelon,2016,6000,
Saint Vincent and the Grenadines,2016,109000,
Samoa,2016,195000,
Sao Tome and Principe,2016,203000,720720000
Saudi Arabia,2016,32443000,1.5E+12
Senegal,2016,14994000,39668592640
Serbia,2016,8854000,1.22E+11
Seychelles,2016,96000,2311608064
Sierra Leone,2016,7329000,6440330240
Singapore,2016,5654000,3.88E+11
Slovakia,2016,5442000,1.44E+11
Slovenia,2016,2074000,59161378816
Solomon Islands,2016,619000,
Somalia,2016,14186000,
South & Central America,2016,,
South Africa,2016,56208000,6.48E+11
South Korea,2016,50983000,1.85E+12
South Sudan,2016,10833000,
Spain,2016,46634000,1.48E+12
Sri Lanka,2016,21021000,2.52E+11
Sudan,2016,39847000,1.7E+11
Suriname,2016,565000,
Sweden,2016,9836000,4.4E+11
Switzerland,2016,8380000,5.25E+11
Syria,2016,17466000,65946779648
Taiwan,2016,23618000,9.85E+11
Tajikistan,2016,8664000,29521520640
Tanzania,2016,53049000,1.34E+11
Thailand,2016,68971000,9.62E+11
Timor,2016,1219000,
Togo,2016,7510000,11751855104
Tonga,2016,101000,
Trinidad and Tobago,2016,1378000,35816759296
Tunisia,2016,11304000,1.18E+11
Turkey,2016,79828000,1.57E+12
Turkmenistan,2016,5662000,1.18E+11
Turks and Caicos Islands,2016,37000,
Uganda,2016,39649000,77159874560
Ukraine,2016,44714000,4.29E+11
United Arab Emirates,2016,9361000,6.57E+11
United Kingdom,2016,66298000,2.58E+12
United States,2016,323016000,1.72E+13
United States Pacific Islands,2016,,
United States Virgin Islands,2016,105000,
Uruguay,2016,3424000,67208687616
Uzbekistan,2016,31442000,2.87E+11
Vanuatu,2016,278000,
Venezuela,2016,29851000,3.96E+11
Vietnam,2016,93640000,5.75E+11
Western Africa,2016,,
Western Sahara,2016,539000,
World,2016,7464022016,1.07E+14
Yemen,2016,27168000,62722076672
Yugoslavia,2016,,
Zambia,2016,16363000,57577410560
Zimbabwe,2016,14030000,25151762432
